12.7574205771,77.3974629119,thoredoddi thore doddi in front of govt. hospital
12.75755,77.64792,dyavasandra open area
12.7575755585,77.7741160523,ballur cross attibele post-anekal taluk beside indian oil petrol bank  m.d.r.fuel station
12.75757,77.64792,dyavasandra open area
12.75789,77.64048,dyavasandra cross
12.7579,77.64049,dyavasandra cross
12.758932134,77.4945855514,nettigere nettigere opposite of govt.higher primary school
12.7591007732,77.6901842601,chowdeshwari temple cross anekal taluk in front of t.b.c.bricks factory
12.759144782,77.4861557795,nettigere gate
12.7595,77.61978,mutturayanaswamy doddi
12.7596416972,77.6558365302,bangla gate bannerghatta anekal road open area
12.7596835527,77.6556219535,bangla gate bannerghatta anekal road open area
12.76026,77.61663,muthurayaswamy doddi cross
12.76059,77.52193,girigowdana doddi cross
12.7607542719,77.4865337427,nettigere gate nettigere opposite of motors
12.7609278325,77.7439142107,kamblipura anekal taluk opposite of government primary school
12.7610121388,77.4867209606,nettigere gate nettigere beside v.v.motors
12.761417,77.655019,nayanahalli cross
12.761538,77.635183,bommandanahalli
12.7616399433,77.3765153624,heggada gere heggadagere in front of hotel
12.7617013827,77.7231351379,madiwala village market anekal taluk in front of sri swamy vivekananda statue
12.7619702742,77.7138482407,marsur
12.7620877478,77.7020562445,rkfarm byagadadenahalli in front of conspace private limited
12.7621014228,77.7137193865,marasur anekal taluk near shankar naga mantap
12.7621138836,77.4703683803,apco factory k.g.gollara palya opposite of orion precast pvt.ltd.
12.7622507465,77.6787352395,lingapura anekal taluk in front of sri maramma devi temple
12.76266,77.61716,krishnadoddi bannerghatta road
12.76269,77.63399,konasandra bannerghatta road
12.7627628911,77.5174325753,rayara doddi rayara doddi beside open area
12.762832,77.670513,nayanahalli
12.7632187942,77.7670644655,arehalli attibele-hubli opposite of sri maramma devi temple
12.76421,77.63556,bommandanahalli cross
12.76422,77.63558,bommandanahalli cross
12.7643735334,77.4874589872,hosa doddi gate hosadoddi in front of narayana gurukula
12.7644399913,77.4873011145,hosa doddi gate hosadoddi opposite of narayana gurukula
12.76447,77.65401,haragadde open area
12.76447,77.65403,haragadde open area
12.7654311644,77.4837135693,hosa doddi  hosadoddi in front of door no-30
12.76567,77.63394,konasandra cross jigani
12.765775,77.640772,vaddarapalya
12.7662124672,77.5284699435,gadipalya gadipalya in front of door no 78
12.7667393811,77.7535881706,manchenahalli
12.76692,77.6185,mahanthalingapura
12.767349197,77.4389363504,anchipura colony anchipura colony in front of government middle school
12.76833,77.63017,vaderamanchanahalli
12.76837,77.63025,vaderamanchanahalli
12.768459,77.584916,muthurayanaswami temple
12.768507,77.770191,tvs cross attibele attibele opposite of sri mukambika hotel
12.7687,77.41456,depot-36
12.7687936327,77.6953649859,naganayakanahalli anekal taluk beside government senior primary school
12.76924,77.65994,seethanayakanahalli
12.7692484578,77.4133322552,depot-36
12.76926,77.62221,kallabalu
12.769420445,77.701504631,marsoor gate  anekal taluk opposite of bharat petrol bunk  cg cables & wires india private limited
12.769822618,77.7017194703,marsoor gate  marasoor gate-anekal taluk near bharat petrol bunk
12.7699944377,77.7013226599,marsoor gate  anekal taluk in front of bharat petrol bunk  cg cables & wires india private limited
12.7700594768,77.7266149811,bandapura village anekal taluk opposite of milk product co-operative society
12.7702437993,77.4320104346,anchipura anchipura opposite of milk dairy
12.7702575359,77.4319265236,anchipura anchipura in front of milk dairy
12.77099,77.62721,kallabala cross
12.77099,77.62734,kallabala cross
12.7717030048,77.7420581225,ichanguru anekal taluk near government primary school
12.7717167371,77.6488198714,madapatna
12.7718004442,77.6489057021,madapatna open area
12.7721924727,77.5036580885,somanahalli  somanahalli in front of veterinary hospital
